attribute,mean,sd
AvgAccel,8.916638615333333,8.969988013820977
AvgArea,0.1251266741851852,0.006678379697914608
AvgVelocity,0.6555370344074074,0.7197472296121803
COGZ,0.31895533844444446,0.03454279006975287
Joint1_Distance,2.387211111111111e-4,9.901026686908374e-4
Joint2_Distance,0.43333772748148147,0.45508889486369963
Joint3_Distance,0.027932636777777776,0.06626184527562898
Joint4_Distance,1.1595640840740742,0.18908901003803055
Joint5_Distance,3.246037037037037e-4,0.001029087983620404
Joint6_Distance,1.0092052113333334,0.21023588556673392
Joint7_Distance,0.1188359282962963,0.19249221990180218
MaxAccel,116.24988658485185,127.63595617143258
MaxVelocity,3.447695406111111,2.672620763742341
PathLengthDifference,0.1809402115925926,0.20671877035877095
Pitch,0.12139410122222223,0.5147271470149138
RangeX,0.29083133074074075,0.038151971962628456
RangeY,0.049399999888888886,0.047801616055036245
RangeZ,0.30154493859259257,0.08341155197773636
Roll,100.74800996851852,10.77439304218656
TimeElapsed,6.239292188962963,3.0385594358961434
TwistX,0.05423483925925926,0.023004112069774922
TwistY,0.0038745654444444443,0.006158975818486465
TwistZ,-0.052262076222222224,0.029331497193550944
Yaw,90.40387001296297,3.3337610359562864
